md5,url,cluster
405783f466633518ad229faf3941a78a,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/4/1547973813065334.mp4,1
0afe309b04968b0537ffdc2c2440c6f4,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/6/1919377531976616.mp4,1
a6c8b444a101a97455ef4cd125f56d09,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/02/0/915015920958550.mp4,1
fad9f87cf3ded6becc73cda042b2fa6f,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/2/1764128998308812.mp4,1
fa104e06f502c39a3a40f29e656f92e6,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/2/4110920282386462.mp4,3
051a90c2188b3217e019f65f0be07642,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/6/25492182557090026.mp4,1
7d7eae0fd58e2c271e81cd31b6e64b49,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/7/3232259843617167.mp4,2
571eadc6e2ceaa5dfc7a954086e3ccd0,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/6/2439361256569636.mp4,1
9a87b72a43eb3fdc4e5d5035639f8b27,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/3/1124520889606023.mp4,2
78f57221edae16fd233e41bddce0e514,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/4/2388115054985674.mp4,1
b6685c717f2a100d182cf8dee3e8c3ca,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/5/1230647545546845.mp4,1
eaec25348e6aec4851ab89dba96843a1,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/7/799423583148297.mp4,2
b37876633efa9e9b0625c2e2c3b8e88b,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/0/1153816666505370.mp4,1
7ada610e6f513d7abec207bc90d05c86,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/0/758365729889280.mp4,2
1d6db154c7a12209b7aae44bf3e20e56,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/1/863029322778661.mp4,3
